	1Pulse-H_(Benzyl_benzoate)	1Pulse-H_(Cis_Decahydronaftalene)	1Pulse-H_(EthylPhenylPropiolate)	1Pulse-H_(m-Anisaldehyde)	1Pulse-H_(Mieszanina_4)	
-3.54748	3.1617e-05	4.03115e-05	8.56514e-05	3.49148e-05	-5.02643e-05	
-3.54572	1.0174e-05	5.04575e-05	7.45369e-05	5.6091e-05	-3.19832e-05	
-3.54397	-1.12689e-05	6.06035e-05	6.34224e-05	3.73572e-05	-1.37022e-05	
-3.54221	-1.20102e-05	2.67965e-05	5.00605e-05	3.35897e-05	-1.94826e-05	
-3.54046	-1.27515e-05	-7.01039e-06	3.66985e-05	2.98222e-05	-2.5263e-05	
-3.5387	2.68043e-06	-2.67192e-05	6.00454e-05	2.21052e-05	-3.25472e-05	
-3.53694	1.81124e-05	-6.62165e-06	8.33923e-05	1.43882e-05	-3.98314e-05	
-3.53519	4.38952e-05	1.34759e-05	5.27996e-05	5.07385e-05	-7.01331e-06	
-3.53343	6.96779e-05	-6.23291e-06	2.2207e-05	8.70887e-05	2.58048e-05	
-3.53168	6.46238e-05	-1.43834e-05	3.97547e-06	7.4487e-05	1.57635e-05	
-3.52992	5.95697e-05	-2.25338e-05	-1.4256e-05	2.19753e-05	5.72229e-06	
-3.52816	6.14161e-05	-3.06843e-05	-2.52115e-06	-3.09835e-06	1.97424e-05	
-3.52641	2.18592e-05	-3.88348e-05	9.21375e-06	3.83446e-05	3.37626e-05	
-3.52465	-5.1985e-05	-5.69368e-05	3.2186e-05	8.02032e-05	1.144e-05	
-3.5229	-5.68235e-05	-3.52325e-05	5.51583e-05	5.55453e-05	-1.08826e-05	
-3.52114	-1.3358e-05	-1.60161e-05	6.01507e-05	2.58987e-05	-2.11744e-05	
-3.51939	3.01075e-05	3.20037e-06	6.51432e-05	-3.74792e-06	-3.14663e-05	
-3.51763	-7.52218e-06	4.5739e-06	3.90162e-05	4.3535e-07	-5.91933e-05	
-3.51587	-4.51518e-05	5.94743e-06	1.28893e-05	4.61862e-06	-8.69202e-05	
-3.51412	-2.06764e-05	-1.25823e-05	1.67288e-05	6.30751e-06	-5.8504e-05	
-3.51236	3.79907e-06	-3.11119e-05	2.05682e-05	7.99641e-06	-3.00878e-05	
-3.51061	-6.22831e-06	-5.21295e-05	1.27957e-05	4.25279e-05	-1.99682e-05	
-3.50885	-1.62557e-05	-7.31471e-05	5.02315e-06	3.71494e-05	-9.84866e-06	
-3.50709	-5.58139e-06	-3.69429e-05	-2.74938e-06	-3.15032e-06	2.70884e-07	
-3.50534	5.09294e-06	-7.38801e-07	-1.05219e-05	-4.345e-05	1.03904e-05	
-3.50358	-2.77802e-06	4.68682e-05	2.07555e-05	-4.29043e-05	-2.88659e-05	
-3.50183	-1.0649e-05	5.46688e-05	5.20329e-05	-2.44877e-06	-6.81223e-05	
-3.50007	2.18177e-06	3.84197e-05	5.33439e-05	3.55125e-05	-6.72764e-05	
-3.49832	1.50125e-05	2.21706e-05	-5.27781e-06	7.34737e-05	-6.64305e-05	
