	1H_pinene_CDCl3	1H_benzyl_benzoate_CDCl3	1H_limonene_CDCl3_3	1H_pinene_benzylbenzoate_CDCl3	
0.503719	0.000470199	-0.000534423	-0.000231039	-0.000763636	
0.503841	0.000590375	-0.000329264	-0.000272603	-0.000787865	
0.503962	0.000608673	6.67796e-05	-0.000232503	-0.000925738	
0.504084	0.000626972	0.000114813	-0.000192403	-0.00106353	
0.504206	0.000631329	-2.56598e-05	-0.00017393	-0.0009613	
0.504327	0.000635687	-0.000166133	-0.000155457	-0.000618886	
0.504449	0.000640044	-0.000241354	-0.000299186	-0.000261549	
0.504571	0.000644401	-0.000316575	-0.000442916	-0.0003043	
0.504692	0.000648757	-0.000565805	-0.000298285	-0.00048219	
0.504814	0.000653187	-0.000815026	-0.000153655	-0.000419896	
0.504935	0.000684265	-0.000788748	-0.000152303	-0.000403952	
0.505057	0.000715345	-0.000762463	-0.000150952	-0.000387929	
0.505179	0.000746423	-0.000562176	-0.0001496	-0.00035698	
0.5053	0.000777502	-0.00036189	-0.000148248	-0.000325952	
0.505422	0.000910822	-0.000168853	-0.000258636	-0.000249982	
0.505544	0.00104414	2.41846e-05	-0.000369024	-0.000173934	
0.505665	0.00095439	-7.27847e-05	-0.000306395	-9.7964e-05	
0.505787	0.000864711	-0.000169754	-0.000243767	-2.19159e-05	
