,Mieszanina_perfumy_bez menthonu
0.732238,0.0124286
0.733994,0.0126016
0.735749,0.0127919
0.737505,0.0129821
0.739261,0.0131768
0.741017,0.0133714
0.742773,0.0135441
0.744529,0.0136666
0.746284,0.013774
0.74804,0.0138814
0.749796,0.0140384
0.751552,0.0142255
0.753308,0.0144032
0.755064,0.0145809
0.756819,0.0147316
0.758575,0.0148823
0.760331,0.015048
0.762087,0.0152137
0.763843,0.0154013
0.765599,0.0155888
0.767354,0.0157764
0.76911,0.0159639
0.770866,0.0161848
0.772622,0.0164057
0.774378,0.0166134
0.776134,0.0168211
0.777889,0.0170238
0.779645,0.0172566
0.781401,0.0174856
0.783157,0.0177147
0.784913,0.0179113
0.786669,0.0180778
0.788424,0.0182444
0.79018,0.018441
0.791936,0.0186568
0.793692,0.0188726
0.795448,0.0190902
0.797204,0.0193079
0.798959,0.0195399
0.800715,0.019772
0.802471,0.020004
0.804227,0.020236
0.805983,0.0204878
0.807739,0.0207396
0.809494,0.0209933
0.81125,0.0212469
0.813006,0.021511
0.814762,0.0218052
0.816518,0.0221192
0.818274,0.0224482
0.820029,0.0227747
0.821785,0.0231013
0.823541,0.0234469
0.825297,0.0238227
0.827053,0.0242176
0.828809,0.0246124
0.830564,0.0250205
0.83232,0.0254586
0.834076,0.0259398
0.835832,0.0264711
0.837588,0.0270461
0.839344,0.0276362
0.841099,0.0282403
0.842855,0.0288946
0.844611,0.0296019
0.846367,0.0303594
0.848123,0.0311534
0.849879,0.0319975
0.851634,0.0328944
0.85339,0.0338616
0.855146,0.0348978
0.856902,0.0359641
0.858658,0.0370446
0.860414,0.0381401
0.862169,0.0392573
0.863925,0.0403744
0.865681,0.0414825
0.867437,0.0425605
0.869193,0.0436198
0.870949,0.044649
0.872704,0.0456317
0.87446,0.0465442
0.876216,0.0473653
0.877972,0.048096
0.879728,0.048775
0.881484,0.0494038
0.883239,0.0499951
0.884995,0.0505714
0.886751,0.0511561
0.888507,0.0517409
0.890263,0.0523545
0.892019,0.0530183
0.893774,0.0537431
0.89553,0.054518
0.897286,0.0553104
0.899042,0.0561329
0.900798,0.0570156
0.902554,0.0579486
0.904309,0.0588834
0.906065,0.0597681
0.907821,0.0605611
0.909577,0.0612235
0.911333,0.0617538
0.913089,0.0621133
0.914844,0.062311
0.9166,0.0623379
0.918356,0.0621972
0.920112,0.0619059
0.921868,0.0614615
0.923624,0.0608664
0.925379,0.0601594
